project_id,object_id,object_state,state_start_time,state_end_time
2,0,INIT,0,5
2,0,ACTIVE,5,5
2,1,INIT,0,5
2,1,ACTIVE,5,5
2,2,INIT,0,5
2,2,ACTIVE,5,5
2,3,INIT,0,5
2,3,ACTIVE,5,5
2,4,INIT,0,5
2,4,ACTIVE,5,5
2,5,INIT,0,5
2,5,ACTIVE,5,5
2,6,INIT,0,5
2,6,ACTIVE,5,5
2,7,INIT,0,5
2,7,ACTIVE,5,5
2,8,INIT,0,5
2,8,ACTIVE,5,5
2,9,INIT,0,5
2,9,ACTIVE,5,5
2,10,INIT,0,5
2,10,ACTIVE,5,5
2,11,INIT,0,5
2,11,ACTIVE,5,5
2,12,INIT,0,5
2,12,ACTIVE,5,5
2,1,ACTIVE,5,5
2,0,ACTIVE,5,5
2,2,ACTIVE,5,5
2,1,ACTIVE,5,6
2,0,ACTIVE,5,6
2,3,ACTIVE,5,6
2,2,ACTIVE,5,6
2,4,ACTIVE,5,6
2,6,ACTIVE,5,6
2,3,ACTIVE,6,8
2,6,ACTIVE,6,8
2,9,ACTIVE,5,8
2,9,ACTIVE,8,8
2,4,ACTIVE,6,8
2,10,ACTIVE,5,8
2,0,ACTIVE,6,10
2,0,ACTIVE,10,10
2,1,ACTIVE,6,10
2,1,ACTIVE,10,10
2,2,ACTIVE,6,10
2,2,ACTIVE,10,10
2,9,ACTIVE,8,10
2,9,ACTIVE,10,10
2,10,ACTIVE,8,10
2,10,ACTIVE,10,10
2,11,ACTIVE,5,10
2,11,ACTIVE,10,10
2,12,ACTIVE,5,10
2,12,ACTIVE,10,10
2,2,ACTIVE,10,10
2,6,ACTIVE,8,10
2,2,ACTIVE,10,10
2,1,ACTIVE,10,10
2,4,ACTIVE,8,10
2,1,ACTIVE,10,10
2,0,ACTIVE,10,10
2,3,ACTIVE,8,10
2,0,ACTIVE,10,10
2,3,ACTIVE,10,12
2,9,ACTIVE,10,12
2,6,ACTIVE,10,12
2,10,ACTIVE,10,12
2,4,ACTIVE,10,12
2,9,ACTIVE,12,12
2,9,ACTIVE,12,13
2,5,ACTIVE,5,13
2,0,ACTIVE,10,15
2,0,ACTIVE,15,15
2,1,ACTIVE,10,15
2,1,ACTIVE,15,15
2,2,ACTIVE,10,15
2,2,ACTIVE,15,15
2,9,ACTIVE,13,15
2,9,ACTIVE,15,15
2,10,ACTIVE,12,15
2,10,ACTIVE,15,15
2,11,ACTIVE,10,15
2,11,ACTIVE,15,15
2,12,ACTIVE,10,15
2,12,ACTIVE,15,15
2,5,ACTIVE,13,15
2,0,ACTIVE,15,15
2,10,ACTIVE,15,15
2,2,ACTIVE,15,15
2,6,ACTIVE,12,15
2,2,ACTIVE,15,15
2,1,ACTIVE,15,15
2,4,ACTIVE,12,15
2,1,ACTIVE,15,15
2,0,ACTIVE,15,15
2,3,ACTIVE,12,15
2,9,ACTIVE,15,16
2,4,ACTIVE,15,16
2,6,ACTIVE,15,16
2,10,ACTIVE,15,16
2,3,ACTIVE,15,16
2,9,ACTIVE,16,16
2,0,ACTIVE,15,20
2,0,ACTIVE,20,20
2,1,ACTIVE,15,20
2,1,ACTIVE,20,20
2,2,ACTIVE,15,20
2,2,ACTIVE,20,20
2,9,ACTIVE,16,20
2,9,ACTIVE,20,20
2,10,ACTIVE,16,20
2,10,ACTIVE,20,20
2,11,ACTIVE,15,20
2,11,ACTIVE,20,20
2,12,ACTIVE,15,20
2,12,ACTIVE,20,20
2,2,ACTIVE,20,20
2,6,ACTIVE,16,20
2,1,ACTIVE,20,20
2,10,ACTIVE,20,20
2,0,ACTIVE,20,20
2,8,ACTIVE,5,20
2,4,ACTIVE,16,20
2,7,ACTIVE,5,20
2,2,ACTIVE,20,20
2,0,ACTIVE,20,20
2,1,ACTIVE,20,20
2,3,ACTIVE,16,20
2,9,ACTIVE,20,21
2,5,ACTIVE,15,21
2,6,ACTIVE,20,22
2,8,ACTIVE,20,22
2,9,ACTIVE,21,22
2,10,ACTIVE,20,22
2,4,ACTIVE,20,22
2,9,ACTIVE,22,22
2,3,ACTIVE,20,22
2,5,ACTIVE,21,23
2,10,ACTIVE,22,23
2,0,ACTIVE,20,25
2,0,ACTIVE,25,25
2,1,ACTIVE,20,25
2,1,ACTIVE,25,25
2,2,ACTIVE,20,25
2,2,ACTIVE,25,25
2,9,ACTIVE,22,25
2,9,ACTIVE,25,25
2,10,ACTIVE,23,25
2,10,ACTIVE,25,25
2,11,ACTIVE,20,25
2,11,ACTIVE,25,25
2,12,ACTIVE,20,25
2,12,ACTIVE,25,25
2,4,ACTIVE,22,25
2,2,ACTIVE,25,25
2,0,ACTIVE,25,25
2,10,ACTIVE,25,25
2,8,ACTIVE,22,25
2,7,ACTIVE,20,25
2,2,ACTIVE,25,25
2,6,ACTIVE,22,25
2,0,ACTIVE,25,25
2,3,ACTIVE,22,25
2,1,ACTIVE,25,25
2,1,ACTIVE,25,25
2,4,ACTIVE,25,26
2,8,ACTIVE,25,26
2,6,ACTIVE,25,26
2,10,ACTIVE,25,26
2,9,ACTIVE,25,26
2,3,ACTIVE,25,26
2,9,ACTIVE,26,26
2,9,ACTIVE,26,27
2,5,ACTIVE,23,27
2,5,ACTIVE,27,29
2,10,ACTIVE,26,29
2,0,ACTIVE,25,30
2,0,ERROR,30,30
2,1,ACTIVE,25,30
2,1,ERROR,30,30
2,2,ACTIVE,25,30
2,2,ERROR,30,30
2,9,ACTIVE,27,30
2,9,ERROR,30,30
2,10,ACTIVE,29,30
2,10,ERROR,30,30
2,11,ACTIVE,25,30
2,11,ERROR,30,30
2,12,ACTIVE,25,30
2,12,ERROR,30,30
2,10,ERROR,30,30
2,8,ACTIVE,26,30
2,7,ACTIVE,25,30
2,7,ACTIVE,30,32
2,0,ERROR,30,35
2,0,ACTIVE,35,35
2,1,ERROR,30,35
2,1,ACTIVE,35,35
2,2,ERROR,30,35
2,2,ACTIVE,35,35
2,9,ERROR,30,35
2,9,ACTIVE,35,35
2,10,ERROR,30,35
2,10,ACTIVE,35,35
2,11,ERROR,30,35
