project_id,object_id,product_id,in_time,out_time
5,0,1,10,26
5,0,2,15,27
5,1,1,26,46
5,0,3,20,47
5,1,2,27,48
5,0,4,31,49
5,1,3,47,49
5,0,5,36,50
5,1,4,49,51
5,4,1,46,51
5,1,5,50,52
5,0,6,52,53
5,4,2,48,56
5,1,6,53,58
5,4,3,49,61
5,0,7,62,63
5,1,7,63,65
5,2,2,56,66
5,4,4,51,66
5,3,1,51,67
5,0,8,67,68
5,2,4,66,68
5,3,3,61,69
5,1,8,68,70
5,4,5,52,71
5,5,2,66,71
5,6,1,67,72
5,0,9,72,73
5,3,5,71,73
5,1,9,73,75
5,4,6,58,76
5,5,4,68,76
5,6,3,69,77
5,0,10,77,78
5,2,6,76,78
5,1,10,78,80
5,4,7,65,81
5,6,5,73,82
5,2,7,81,83
5,5,6,78,83
5,0,11,82,84
5,1,11,84,86
5,4,8,70,86
5,3,8,86,88
5,5,7,83,88
5,4,9,75,91
5,0,12,92,93
5,3,9,91,93
5,1,12,93,95
5,4,10,80,96
5,0,13,97,98
5,2,10,96,98
5,1,13,98,100
5,6,8,88,100
5,4,11,86,101
5,0,14,102,103
5,2,11,101,103
5,5,10,98,103
5,1,14,103,105
5,6,9,93,105
5,0,15,107,108
5,5,11,103,108
5,1,15,108,110
5,4,12,95,111
5,3,12,111,113
5,0,16,112,114
5,1,16,114,116
5,4,13,100,116
5,3,13,116,118
5,6,12,113,118
5,4,14,105,121
5,0,17,122,123
5,2,14,121,123
5,1,17,123,125
5,4,15,110,126
5,0,18,127,128
5,2,15,126,128
5,1,18,128,130
5,5,14,123,130
5,6,13,118,130
5,4,16,116,131
5,0,19,132,133
5,3,16,131,133
5,1,19,133,135
5,5,15,128,135
5,4,17,125,136
5,0,20,137,138
5,3,17,136,138
5,6,16,133,138
5,1,20,138,140
5,6,17,138,143
5,0,21,142,146
5,4,18,130,146
5,1,21,146,148
5,2,18,146,148
5,4,19,135,151
5,0,22,152,153
5,2,19,151,153
5,1,22,153,155
5,4,20,140,156
5,0,23,157,158
5,3,20,156,158
5,1,23,158,160
5,5,18,148,160
5,4,21,148,161
5,0,24,162,163
5,3,21,161,163
5,6,20,158,163
5,1,24,163,165
5,5,19,153,165
5,4,22,155,166
5,0,25,167,168
5,2,22,166,168
5,6,21,163,168
5,1,25,168,170
5,5,22,168,173
5,0,26,172,176
5,4,23,160,176
5,1,26,176,178
5,2,23,176,178
5,4,24,165,181
5,0,27,182,183
5,3,24,181,183
5,1,27,183,185
5,4,25,170,186
