project_id,object_id,object_state,state_start_time,state_end_time
5,0,INIT,0,5
5,0,ACTIVE,5,5
5,0,ACTIVE,5,10
5,0,ACTIVE,10,10
5,0,ACTIVE,10,10
5,0,ACTIVE,10,15
5,0,ACTIVE,15,15
5,0,ACTIVE,15,20
5,0,WAIT,20,20
5,1,INIT,0,25
5,1,ACTIVE,25,25
5,2,INIT,0,25
5,2,ACTIVE,25,25
5,3,INIT,0,25
5,3,ACTIVE,25,25
5,0,WAIT,20,25
5,0,WAIT,25,26
5,1,ACTIVE,25,26
5,0,WAIT,26,26
5,0,ACTIVE,26,26
5,0,ACTIVE,26,27
5,0,ACTIVE,27,27
5,1,ACTIVE,26,27
5,0,ACTIVE,27,27
5,0,ACTIVE,27,31
5,0,ACTIVE,31,31
5,0,ACTIVE,31,36
5,0,WAIT,36,36
5,4,INIT,0,45
5,4,ACTIVE,45,45
5,1,WAIT,27,45
5,0,WAIT,36,45
5,1,WAIT,45,46
5,0,WAIT,45,46
5,4,ACTIVE,45,46
5,0,WAIT,46,46
5,1,WAIT,46,46
5,1,ACTIVE,46,46
5,0,WAIT,46,47
5,1,ACTIVE,46,47
5,0,WAIT,47,47
5,0,ACTIVE,47,47
5,1,WAIT,47,48
5,4,ACTIVE,46,48
5,1,WAIT,48,48
5,0,ACTIVE,47,48
5,1,ACTIVE,48,49
5,4,ACTIVE,48,49
5,0,ACTIVE,48,49
5,1,ACTIVE,49,49
5,1,ACTIVE,49,49
5,0,ACTIVE,49,49
5,0,ACTIVE,49,49
5,0,ACTIVE,49,49
5,4,ACTIVE,49,50
5,4,ACTIVE,50,50
5,0,ACTIVE,49,50
5,1,ACTIVE,49,50
5,0,ACTIVE,50,50
5,0,ACTIVE,50,50
5,4,ACTIVE,50,51
5,1,WAIT,50,51
5,4,ACTIVE,51,51
5,3,ACTIVE,25,51
5,1,WAIT,51,51
5,1,ACTIVE,51,51
5,4,ACTIVE,51,51
5,0,ACTIVE,50,51
5,2,ACTIVE,25,51
5,0,ACTIVE,51,51
5,4,ACTIVE,51,51
5,1,ACTIVE,51,51
5,0,ACTIVE,51,51
5,0,ACTIVE,51,52
5,0,ERROR,52,52
5,1,ACTIVE,51,52
5,4,ACTIVE,51,52
5,0,ERROR,52,52
5,1,ACTIVE,52,52
5,0,ERROR,52,53
5,1,ACTIVE,52,53
5,0,ERROR,53,53
5,0,ERROR,53,53
5,2,ACTIVE,51,56
5,3,ACTIVE,51,56
5,4,WAIT,52,56
5,1,ACTIVE,53,56
5,4,WAIT,56,56
5,4,ACTIVE,56,56
5,0,ERROR,53,56
5,1,ACTIVE,56,56
5,0,ERROR,56,56
5,0,ERROR,56,57
5,0,ACTIVE,57,57
5,1,ACTIVE,56,58
5,4,ACTIVE,56,58
5,1,ACTIVE,58,58
5,0,ACTIVE,57,58
5,4,WAIT,58,61
5,4,ACTIVE,61,61
5,3,ACTIVE,56,61
5,4,ACTIVE,61,61
5,1,ACTIVE,58,61
5,2,ACTIVE,56,61
5,0,ACTIVE,58,61
5,0,ACTIVE,61,61
5,1,ACTIVE,61,61
5,0,ACTIVE,61,62
5,0,ACTIVE,62,62
5,0,ACTIVE,62,63
5,1,ACTIVE,61,63
5,0,ACTIVE,63,63
5,0,ACTIVE,63,63
5,5,INIT,0,65
5,5,ACTIVE,65,65
5,6,INIT,0,65
5,6,ACTIVE,65,65
5,2,ACTIVE,61,65
5,4,ACTIVE,61,65
5,1,ACTIVE,63,65
5,3,WAIT,61,65
5,0,ACTIVE,63,65
5,1,ACTIVE,65,65
5,4,ACTIVE,65,65
5,4,WAIT,65,65
5,0,ACTIVE,65,65
5,0,ACTIVE,65,65
5,1,ACTIVE,65,65
5,1,ACTIVE,65,65
5,2,ACTIVE,65,66
5,4,WAIT,65,66
5,2,ACTIVE,66,66
5,4,WAIT,66,66
5,1,ACTIVE,65,66
5,0,ACTIVE,65,66
5,4,ACTIVE,66,66
5,1,ACTIVE,66,66
5,0,ACTIVE,66,66
5,2,ACTIVE,66,66
5,0,ACTIVE,66,67
5,0,ACTIVE,67,67
5,3,WAIT,65,67
5,3,ACTIVE,67,67
5,4,ACTIVE,66,67
5,4,ACTIVE,67,67
5,3,ACTIVE,67,67
5,1,ACTIVE,66,67
5,0,ACTIVE,67,67
5,1,ACTIVE,67,67
5,0,ACTIVE,67,67
5,0,ACTIVE,67,68
5,2,ACTIVE,66,68
5,2,ACTIVE,68,68
5,4,ACTIVE,67,68
5,0,ACTIVE,68,68
5,1,ACTIVE,67,68
5,1,ACTIVE,68,68
5,0,ACTIVE,68,68
5,0,ACTIVE,68,68
5,3,ACTIVE,67,69
5,3,ACTIVE,69,69
5,1,ACTIVE,68,69
5,0,ACTIVE,68,69
5,4,ACTIVE,68,69
5,5,ACTIVE,65,70
5,5,ACTIVE,70,70
5,6,ACTIVE,65,70
5,6,ACTIVE,70,70
5,4,ACTIVE,69,70
5,1,ACTIVE,69,70
5,1,ACTIVE,70,70
5,3,ACTIVE,69,70
5,1,ACTIVE,70,70
5,4,WAIT,70,70
5,4,WAIT,70,70
5,1,ACTIVE,70,70
5,0,ACTIVE,69,70
5,0,ACTIVE,70,70
5,0,ACTIVE,70,70
5,2,ACTIVE,68,70
5,2,ACTIVE,70,71
5,4,WAIT,70,71
5,4,ACTIVE,71,71
5,1,ACTIVE,70,71
5,0,ACTIVE,70,71
5,4,ACTIVE,71,71
5,1,ACTIVE,71,71
5,0,ACTIVE,71,71
5,3,ACTIVE,70,71
5,0,ACTIVE,71,72
5,0,ACTIVE,72,72
5,3,ACTIVE,71,73
5,1,ACTIVE,71,73
5,0,ACTIVE,72,73
5,0,ACTIVE,73,73
5,0,ACTIVE,73,73
5,4,ACTIVE,71,73
5,1,ACTIVE,73,73
5,0,ACTIVE,73,73
5,3,ACTIVE,73,73
5,5,ACTIVE,70,75
5,5,ACTIVE,75,75
5,6,ACTIVE,70,75
5,6,ACTIVE,75,75
5,3,ACTIVE,73,75
5,1,ACTIVE,73,75
5,0,ACTIVE,73,75
5,2,ACTIVE,71,75
5,1,ACTIVE,75,75
5,0,ACTIVE,75,75
5,1,ACTIVE,75,75
5,4,ACTIVE,73,75
5,4,ACTIVE,75,75
5,4,WAIT,75,75
5,1,ACTIVE,75,75
5,0,ACTIVE,75,75
5,2,ACTIVE,75,76
5,3,ACTIVE,75,76
5,4,WAIT,75,76
5,4,WAIT,76,76
5,1,ACTIVE,75,76
5,0,ACTIVE,75,76
5,4,ACTIVE,76,76
5,1,ACTIVE,76,76
5,0,ACTIVE,76,76
5,0,ACTIVE,76,77
5,0,ACTIVE,77,77
5,1,ACTIVE,76,78
5,0,ACTIVE,77,78
5,0,ACTIVE,78,78
5,2,ACTIVE,76,78
5,0,ACTIVE,78,78
5,4,ACTIVE,76,78
5,1,ACTIVE,78,78
5,0,ACTIVE,78,78
5,2,ACTIVE,78,78
5,5,ACTIVE,75,80
5,5,ACTIVE,80,80
5,6,ACTIVE,75,80
5,6,ACTIVE,80,80
5,3,ACTIVE,76,80
5,1,ACTIVE,78,80
5,0,ACTIVE,78,80
5,2,ACTIVE,78,80
5,1,ACTIVE,80,80
5,0,ACTIVE,80,80
5,1,ACTIVE,80,80
5,4,ACTIVE,78,80
5,4,ACTIVE,80,80
5,4,WAIT,80,80
5,1,ACTIVE,80,80
5,0,ACTIVE,80,80
5,2,ACTIVE,80,81
5,3,ACTIVE,80,81
5,4,WAIT,80,81
5,4,WAIT,81,81
5,1,ACTIVE,80,81
5,0,ACTIVE,80,81
5,4,ACTIVE,81,81
5,1,ACTIVE,81,81
5,0,ACTIVE,81,81
5,0,ACTIVE,81,82
5,0,ERROR,82,82
5,2,ACTIVE,81,83
5,2,ACTIVE,83,83
5,4,ACTIVE,81,83
5,1,ACTIVE,81,83
5,0,ERROR,82,83
5,0,ERROR,83,84
5,1,ACTIVE,83,84
5,0,ERROR,84,84
5,0,ERROR,84,84
5,5,ACTIVE,80,85
5,5,ACTIVE,85,85
5,6,ACTIVE,80,85
