project_id,object_id,object_state,state_start_time,state_end_time
3,0,INIT,0,5
3,0,ACTIVE,5,5
3,1,INIT,0,5
3,1,ACTIVE,5,5
3,2,INIT,0,5
3,2,ACTIVE,5,5
3,3,INIT,0,5
3,3,ACTIVE,5,5
3,4,INIT,0,5
3,4,ACTIVE,5,5
3,5,INIT,0,5
3,5,ACTIVE,5,5
3,6,INIT,0,5
3,6,ACTIVE,5,5
3,7,INIT,0,5
3,7,ACTIVE,5,5
3,8,INIT,0,5
3,8,ACTIVE,5,5
3,9,INIT,0,5
3,9,ACTIVE,5,5
3,10,INIT,0,5
3,10,ACTIVE,5,5
3,11,INIT,0,5
3,11,ACTIVE,5,5
3,12,INIT,0,5
3,12,ACTIVE,5,5
3,13,INIT,0,5
3,13,ACTIVE,5,5
3,14,INIT,0,5
3,14,ACTIVE,5,5
3,15,INIT,0,5
3,15,ACTIVE,5,5
3,16,INIT,0,5
3,16,ACTIVE,5,5
3,17,INIT,0,5
3,17,ACTIVE,5,5
3,18,INIT,0,5
3,18,ACTIVE,5,5
3,19,INIT,0,5
3,19,ACTIVE,5,5
3,20,INIT,0,5
3,20,ACTIVE,5,5
3,21,INIT,0,5
3,21,ACTIVE,5,5
3,22,INIT,0,5
3,22,ACTIVE,5,5
3,23,INIT,0,5
3,23,ACTIVE,5,5
3,24,INIT,0,5
3,24,ACTIVE,5,5
3,25,INIT,0,5
3,25,ACTIVE,5,5
3,26,INIT,0,5
3,26,ACTIVE,5,5
3,27,INIT,0,5
3,27,ACTIVE,5,5
3,28,INIT,0,5
3,28,ACTIVE,5,5
3,29,INIT,0,5
3,29,ACTIVE,5,5
3,30,INIT,0,5
3,30,ACTIVE,5,5
3,31,INIT,0,5
3,31,ACTIVE,5,5
3,32,INIT,0,5
3,32,ACTIVE,5,5
3,11,ACTIVE,5,5
3,24,ACTIVE,5,5
3,3,ACTIVE,5,5
3,7,ACTIVE,5,5
3,1,ACTIVE,5,5
3,3,ACTIVE,5,5
3,13,ACTIVE,5,5
3,29,ACTIVE,5,5
3,20,ACTIVE,5,5
3,8,ACTIVE,5,5
3,29,ACTIVE,5,5
3,28,ACTIVE,5,5
3,28,ACTIVE,5,5
3,18,ACTIVE,5,5
3,25,ACTIVE,5,5
3,0,ACTIVE,5,5
3,29,ACTIVE,5,5
3,29,ACTIVE,5,5
3,19,ACTIVE,5,5
3,4,ACTIVE,5,5
3,18,ACTIVE,5,5
3,9,ACTIVE,5,5
3,27,ACTIVE,5,5
3,21,ACTIVE,5,5
3,21,ACTIVE,5,5
3,30,ACTIVE,5,5
3,6,ACTIVE,5,5
3,30,ACTIVE,5,5
3,13,ACTIVE,5,5
3,22,ACTIVE,5,5
3,17,ACTIVE,5,5
3,5,ACTIVE,5,5
3,28,ACTIVE,5,5
3,26,ACTIVE,5,5
3,27,ACTIVE,5,5
